customer_id,first_name,last_name,email,gender,street_num,street_name,street_suffix,city,state,postcode
1,Romain,Southcott,rsouthcott0@clickbank.net,Male,1.0,Trailsway,Road,San Diego,California,92127.0
2,Cosimo,Molyneaux,cmolyneaux1@wiley.com,Male,,,,El Paso,Texas,
3,Bambi,Westrip,bwestrip2@symantec.com,Female,4057.0,Arkansas,Circle,San Antonio,Texas,78220.0
4,Roarke,Pankettman,rpankettman3@wiley.com,Male,74.0,Debs,Point,Memphis,Tennessee,38150.0
5,Mikaela,Althorpe,malthorpe4@51.la,,,2nd,Drive,,,83732.0
6,Magdalena,Cullip,mcullip5@tiny.cc,Female,9190.0,Packers,Drive,Baltimore,Maryland,21229.0
7,Marietta,Heball,mheball6@blog.com,Female,12.0,Mallory,Center,Carol Stream,Illinois,60351.0
8,Tine,McSperrin,tmcsperrin7@statcounter.com,,530.0,Erie,Plaza,Kansas City,Missouri,64193.0
9,Enrichetta,de Villier,edevillier8@ox.ac.uk,Female,745.0,Annamark,Street,Fairbanks,Alaska,99709.0
10,Sari,Poulden,spoulden9@xing.com,Female,2.0,Pond,Hill,New Orleans,Louisiana,
11,Natale,Martina,nmartinaa@wordpress.com,Male,221.0,Sauthoff,Pass,Bradenton,Florida,34205.0
12,Noni,Norrington,nnorringtonb@netvibes.com,Female,5.0,,,Baltimore,Maryland,21282.0
13,Mikol,MacWhan,mmacwhanc@patch.com,Male,9.0,Eagle Crest,Center,Bronx,New York,10469.0
14,Deny,Thraves,dthravesd@ibm.com,Female,71865.0,Valley Edge,Place,Washington,District of Columbia,20456.0
15,Fara,Petegrew,fpetegrewe@ebay.com,Female,,Claremont,Place,Los Angeles,California,90005.0
16,Jodie,De Cristoforo,jdecristoforof@mac.com,Male,50948.0,Rowland,Alley,Charleston,South Carolina,29424.0
17,Tobi,Dewicke,tdewickeg@hostgator.com,Female,6817.0,Orin,Junction,San Rafael,,
18,Reinhold,Woolforde,rwoolfordeh@cbc.ca,Male,,Northwestern,Way,Amarillo,Texas,79118.0
19,Fredek,Foley,ffoleyi@bbb.org,Male,8.0,Ridgeway,Park,Silver Spring,Maryland,20910.0
20,Rubina,Hustings,rhustingsj@wikimedia.org,Female,249.0,Esker,Hill,San Antonio,Texas,78210.0
